job,number,place,pub_time,title
技术类,2,北京,2019-04-28,CSIG16-车联网存储云高级开发工程师
技术类,1,北京,2019-04-28,CSIG16-车联网运营高级开发工程师
技术类,1,北京,2019-04-28,CSIG16-车联网DevOps高级开发工程师
设计类,1,上海,2019-04-28,15616-资深2D原画设计师
技术类,1,深圳,2019-04-28,PCG17-后台开发高级工程师（深圳）
内容编辑类,1,北京,2019-04-28,27730-腾讯视频短视频项目制片人
职能类,1,深圳,2019-04-28,29314-应收管理经理（深圳）
内容编辑类,1,北京,2019-04-28,23486-腾讯自选股内容源管理高级运营
设计类,1,上海,2019-04-28,24987-2D日系美术场景原画
技术类,1,深圳,2019-04-28,TEG04-Code平台Web前端开发工程师（深圳）
技术类,1,深圳,2019-04-28,28937-移动游戏高级测试工程师（深圳）
内容编辑类,1,北京,2019-04-28,22088-体育赛事运营经理（北京）
,2,深圳,2019-04-28,14914-信息传播公关经理（深圳）
技术类,2,深圳,2019-04-28,TEG03-广告推荐运维工程师（深圳）
技术类,6,深圳,2019-04-28,TEG04-腾讯TAPD PHP开发工程师（深圳）
产品/项目类,1,广州,2019-04-28,WXG11-微信读书产品策划（广州）
设计类,5,上海,2019-04-28,24987-2D游戏原画设计（上海）
设计类,1,深圳,2019-04-28,27730-Yoo视频UI设计师（深圳）
技术类,1,深圳,2019-04-28,TEG04-腾讯TAPD H5开发工程师（深圳）
技术类,2,深圳,2019-04-28,TEG04-腾讯TAPD Web前端开发工程师（深圳）
设计类,1,上海,2019-04-28,24987-游戏UI设计师（女性向）
技术类,1,深圳,2019-04-28,TEG04-Code平台Java高级开发工程师（深圳）
技术类,2,深圳,2019-04-28,TEG04-腾讯TAPD 高级运维开发工程师（深圳）
技术类,1,上海,2019-04-28,20503-优图专项测试工程师（上海）
产品/项目类,1,上海,2019-04-28,26699-智慧零售商业产品经理
产品/项目类,1,深圳,2019-04-28,21090-游戏发行高级商业分析经理（深圳）
市场类,1,深圳,2019-04-28,23295-腾讯电竞品牌经理（深圳）
技术类,1,深圳,2019-04-28,23295-互娱前端开发工程师
市场类,1,深圳,2019-04-28,HY5-Gaming-新兴市场商务拓展（高级）经理
产品/项目类,1,上海,2019-04-28,24987-战术竞技类游戏系统策划
市场类,1,昆明,2019-04-28,HY6-互娱市场推广与策划经理
市场类,1,深圳,2019-04-28,23295-腾讯电竞品牌经理（深圳）
产品/项目类,1,深圳,2019-04-28,CSIG02-腾讯云教育行业高级产品经理 （深圳）
技术类,3,深圳,2019-04-28,29777-腾讯云企业业务研发工程师（深圳）
产品/项目类,1,深圳,2019-04-28,27560-手游平台渠道运营
技术类,1,深圳,2019-04-28,29913-运营商研发中心后台开发
产品/项目类,1,深圳,2019-04-28,25663-腾讯云泛互联网高级数据分析师(深圳)
产品/项目类,1,深圳,2019-04-28,CSIG02-腾讯云医疗行业高级产品经理（深圳）
